epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,443.926,0.96884,2.17915,1.09848,1.34604,0,0.80582,0.63036,0.71324,0.44741,0.82061,0.60859,0.66275,0.37393,1.31738,3.06889,1.35685,1.75067,0,0.001019,0.001019,0.001019
30,459.908,1.00707,2.22489,1.14457,1.36529,0,0.67193,0.6827,0.65558,0.42364,0.66894,0.67612,0.62704,0.36142,1.25844,2.76854,1.50899,1.73394,0,0.00101075,0.00101075,0.00101075
31,475.362,1.01429,2.27608,1.15678,1.38729,0,0.69377,0.68361,0.68088,0.42543,0.68482,0.66783,0.64473,0.37554,1.32431,2.78802,1.41013,1.78149,0,0.0010025,0.0010025,0.0010025
32,491.804,0.98734,2.24939,1.11311,1.37063,0,0.63087,0.65368,0.67784,0.43748,0.59043,0.61348,0.61003,0.32669,1.3243,2.91176,1.3991,1.75648,0,0.00099425,0.00099425,0.00099425
33,508.014,0.97837,2.18641,1.11825,1.3444,0,0.7095,0.70764,0.67445,0.42337,0.74405,0.69027,0.66233,0.37941,1.33124,2.64799,1.33452,1.78433,0,0.000986,0.000986,0.000986
34,523.431,0.96511,2.17267,1.10079,1.33343,0,0.71136,0.69159,0.70315,0.47442,0.71136,0.69159,0.69,0.40186,1.23985,2.74841,1.35463,1.73773,0,0.00097775,0.00097775,0.00097775
35,538.478,0.94441,2.09977,1.06232,1.31463,0,0.77676,0.6058,0.66132,0.42604,0.77423,0.59398,0.63801,0.35309,1.23019,2.82297,1.53962,1.68692,0,0.0009695,0.0009695,0.0009695
36,553.449,0.93912,2.07573,1.01499,1.31708,0,0.79236,0.61867,0.65021,0.43462,0.78258,0.60867,0.63418,0.38561,1.3023,2.79563,1.66602,1.72179,0,0.00096125,0.00096125,0.00096125
37,568.652,0.95557,2.12165,1.03914,1.32099,0,0.73791,0.59918,0.6682,0.42567,0.78609,0.55828,0.64682,0.36074,1.34146,2.86121,1.49612,1.78561,0,0.000953,0.000953,0.000953
38,583.827,0.92522,2.05155,0.99788,1.29303,0,0.7669,0.66819,0.71756,0.48201,0.78107,0.65633,0.70866,0.41632,1.23712,2.81317,1.31499,1.67671,0,0.00094475,0.00094475,0.00094475
39,599.019,0.91021,2.04252,0.99704,1.2932,0,0.76127,0.66907,0.7324,0.46993,0.73613,0.66441,0.69932,0.42539,1.32972,2.70997,1.32235,1.75745,0,0.0009365,0.0009365,0.0009365
40,614.041,0.91039,2.0303,1.02303,1.30539,0,0.77198,0.57492,0.67392,0.44503,0.76033,0.57009,0.63593,0.38537,1.24525,2.90439,1.35857,1.67742,0,0.00092825,0.00092825,0.00092825
41,628.891,0.90247,2.05367,0.9837,1.29051,0,0.65308,0.68026,0.67064,0.43451,0.77238,0.59737,0.66684,0.41296,1.30341,2.86629,1.41921,1.70037,0,0.00092,0.00092,0.00092
42,643.967,0.88571,2.00119,0.9408,1.2706,0,0.78033,0.62085,0.66127,0.44547,0.7871,0.62514,0.65419,0.39208,1.24184,2.78921,1.51913,1.68949,0,0.00091175,0.00091175,0.00091175
43,659.323,0.86217,1.97625,0.9097,1.26128,0,0.79827,0.62236,0.67624,0.45221,0.7887,0.61325,0.66388,0.392,1.25835,2.94844,1.53229,1.69399,0,0.0009035,0.0009035,0.0009035
44,674.925,0.88548,2.01139,0.97774,1.27433,0,0.81898,0.65159,0.69249,0.42623,0.82723,0.66435,0.69669,0.38757,1.24586,2.67501,1.32491,1.74589,0,0.00089525,0.00089525,0.00089525
45,690.067,0.89781,2.0769,0.98901,1.27075,0,0.71154,0.53987,0.62774,0.38924,0.6701,0.57662,0.63618,0.35492,1.32204,2.80097,1.71763,1.77689,0,0.000887,0.000887,0.000887
46,705.516,0.88944,2.00388,0.94222,1.28493,0,0.75599,0.65942,0.68864,0.44451,0.73311,0.63388,0.6441,0.40637,1.20349,2.59872,1.39705,1.65781,0,0.00087875,0.00087875,0.00087875
47,720.603,0.87956,1.98637,0.92969,1.27172,0,0.75962,0.64544,0.69004,0.44845,0.75417,0.64202,0.67561,0.41134,1.24401,2.65132,1.28947,1.6431,0,0.0008705,0.0008705,0.0008705
48,736.002,0.86687,1.94786,0.93886,1.24922,0,0.75706,0.59907,0.6415,0.42583,0.71263,0.60039,0.63488,0.37878,1.27233,2.77464,1.53706,1.69812,0,0.00086225,0.00086225,0.00086225
49,751.385,0.83321,1.88549,0.91107,1.23687,0,0.76566,0.63246,0.68608,0.46124,0.7697,0.6349,0.67534,0.41569,1.24137,2.63142,1.30861,1.69474,0,0.000854,0.000854,0.000854
50,766.792,0.83351,1.86239,0.87816,1.24247,0,0.75387,0.60161,0.68154,0.48007,0.73813,0.58674,0.65052,0.40661,1.15038,2.77267,1.44819,1.60139,0,0.00084575,0.00084575,0.00084575
51,783.052,0.82295,1.85909,0.86048,1.23116,0,0.86069,0.64079,0.71859,0.49338,0.86875,0.6469,0.71063,0.44039,1.1436,2.65682,1.29231,1.63018,0,0.0008375,0.0008375,0.0008375
