epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
122,1849.21,0.53411,1.34451,0.49732,1.03237,0,0.8018,0.70303,0.74643,0.52645,0.8018,0.70303,0.73427,0.48799,1.06555,2.65248,1.19282,1.51669,0,0.00025175,0.00025175,0.00025175
123,1864,0.54757,1.32255,0.48563,1.04312,0,0.86084,0.68698,0.75138,0.53453,0.86341,0.69101,0.73518,0.47445,1.08989,2.6499,1.26178,1.58333,0,0.0002435,0.0002435,0.0002435
124,1878.8,0.52623,1.33416,0.48639,1.03384,0,0.83627,0.65944,0.74744,0.52263,0.84406,0.66556,0.73603,0.48387,1.08709,2.6826,1.13246,1.57052,0,0.00023525,0.00023525,0.00023525
125,1893.6,0.54673,1.36402,0.4931,1.03888,0,0.85438,0.65491,0.73573,0.53039,0.85168,0.65706,0.72706,0.48647,1.07411,2.7634,1.23784,1.56018,0,0.000227,0.000227,0.000227
126,1908.4,0.54184,1.34598,0.49001,1.02821,0,0.90244,0.64905,0.73614,0.52123,0.89471,0.64302,0.71485,0.48092,1.0808,2.77051,1.28865,1.56793,0,0.00021875,0.00021875,0.00021875
127,1923.15,0.54202,1.3313,0.50829,1.03984,0,0.85772,0.70433,0.74109,0.52415,0.85126,0.69808,0.72813,0.48153,1.11773,2.56598,1.27474,1.60098,0,0.0002105,0.0002105,0.0002105
128,1937.97,0.55543,1.37264,0.50356,1.05509,0,0.84718,0.68419,0.73833,0.52311,0.84252,0.6888,0.73033,0.48978,1.1168,2.5467,1.33305,1.58025,0,0.00020225,0.00020225,0.00020225
129,1952.84,0.5347,1.36342,0.48438,1.03825,0,0.81073,0.68346,0.73051,0.52299,0.85586,0.65336,0.72094,0.47562,1.1113,2.62734,1.24405,1.57214,0,0.000194,0.000194,0.000194
130,1967.6,0.52087,1.30575,0.48343,1.02577,0,0.83385,0.70898,0.73619,0.52687,0.83385,0.70898,0.72271,0.48133,1.07354,2.68475,1.24026,1.56937,0,0.00018575,0.00018575,0.00018575
131,1982.85,0.52313,1.35607,0.46782,1.03563,0,0.83067,0.6813,0.74252,0.52935,0.83729,0.68472,0.73584,0.48588,1.06217,2.55767,1.33916,1.54792,0,0.0001775,0.0001775,0.0001775
132,1997.71,0.54949,1.34824,0.49281,1.04311,0,0.84818,0.68749,0.75709,0.53148,0.82723,0.693,0.74242,0.48381,1.10002,2.60492,1.21519,1.59319,0,0.00016925,0.00016925,0.00016925
133,2012.39,0.52359,1.29715,0.46986,1.02811,0,0.84913,0.64883,0.74508,0.54144,0.77384,0.69896,0.72797,0.48413,1.09151,2.62236,1.27242,1.58147,0,0.000161,0.000161,0.000161
134,2027.23,0.52238,1.338,0.44645,1.02475,0,0.77362,0.70575,0.73194,0.53501,0.77427,0.70288,0.71098,0.48044,1.07145,2.57317,1.28058,1.53092,0,0.00015275,0.00015275,0.00015275
135,2041.98,0.51075,1.32101,0.46513,1.03021,0,0.82311,0.68914,0.74224,0.53504,0.82316,0.68745,0.74016,0.47701,1.08819,2.61397,1.22832,1.59572,0,0.0001445,0.0001445,0.0001445
136,2056.72,0.51694,1.27761,0.46097,1.02927,0,0.84083,0.68791,0.74824,0.53975,0.84659,0.69133,0.73648,0.48657,1.0918,2.64922,1.19295,1.56973,0,0.00013625,0.00013625,0.00013625
137,2071.57,0.50349,1.24447,0.44313,1.01279,0,0.85272,0.69638,0.74467,0.54125,0.85936,0.6998,0.73455,0.49366,1.06887,2.6204,1.2116,1.53672,0,0.000128,0.000128,0.000128
138,2086.51,0.51489,1.2926,0.46917,1.02669,0,0.78954,0.71223,0.75792,0.54416,0.78542,0.70502,0.73536,0.49703,1.07357,2.68375,1.19664,1.53169,0,0.00011975,0.00011975,0.00011975
139,2101.31,0.51727,1.29743,0.4604,1.02014,0,0.82781,0.69572,0.75814,0.54135,0.83082,0.69052,0.73936,0.49309,1.08018,2.59836,1.25323,1.54646,0,0.0001115,0.0001115,0.0001115
140,2116.13,0.50776,1.27286,0.44798,1.01939,0,0.86014,0.67391,0.75066,0.5399,0.85893,0.66914,0.72648,0.49192,1.07505,2.59958,1.23221,1.52413,0,0.00010325,0.00010325,0.00010325
141,2131.73,0.47873,1.14471,0.47378,1.00287,0,0.8812,0.66336,0.74363,0.53281,0.87766,0.65817,0.72534,0.48478,1.10102,2.76808,1.26641,1.58183,0,9.5e-05,9.5e-05,9.5e-05
142,2146.92,0.45505,1.11623,0.39222,1.01705,0,0.88744,0.65134,0.74952,0.54657,0.89542,0.65461,0.73393,0.49357,1.06961,2.89821,1.18297,1.55764,0,8.675e-05,8.675e-05,8.675e-05
143,2161.66,0.44903,1.07915,0.34896,0.99892,0,0.85037,0.70947,0.7547,0.5409,0.85525,0.71289,0.7404,0.49719,1.09245,2.88556,1.15102,1.60065,0,7.85e-05,7.85e-05,7.85e-05
144,2176.44,0.43087,1.04482,0.32659,0.97372,0,0.81728,0.70092,0.74828,0.54518,0.81637,0.70153,0.73299,0.49682,1.07668,2.8606,1.16999,1.58198,0,7.025e-05,7.025e-05,7.025e-05
145,2191.15,0.4146,1.02776,0.32255,0.96212,0,0.82022,0.69972,0.75662,0.54662,0.78299,0.71285,0.73532,0.49258,1.08993,2.87086,1.18435,1.60608,0,6.2e-05,6.2e-05,6.2e-05
146,2205.72,0.43207,1.04999,0.35978,0.98311,0,0.83793,0.68104,0.7503,0.54683,0.8212,0.68518,0.73412,0.49125,1.09379,2.84972,1.22225,1.60942,0,5.375e-05,5.375e-05,5.375e-05
147,2220.84,0.41967,1.0252,0.32907,0.98231,0,0.81954,0.69031,0.75148,0.54543,0.82506,0.69374,0.7459,0.49123,1.08538,2.80481,1.18363,1.5895,0,4.55e-05,4.55e-05,4.55e-05
148,2235.5,0.40267,0.99429,0.30456,0.95836,0,0.84864,0.67467,0.74888,0.5464,0.85308,0.6789,0.73738,0.49164,1.07612,2.81276,1.18994,1.5887,0,3.725e-05,3.725e-05,3.725e-05
149,2250.09,0.39986,1.0123,0.32365,0.96741,0,0.85117,0.67285,0.75093,0.54318,0.8548,0.67911,0.73999,0.49515,1.07899,2.80475,1.2061,1.5947,0,2.9e-05,2.9e-05,2.9e-05
150,2264.69,0.39312,0.96499,0.28751,0.95762,0,0.77745,0.72993,0.75243,0.53805,0.77613,0.72767,0.73888,0.49408,1.09043,2.82871,1.20723,1.60634,0,2.075e-05,2.075e-05,2.075e-05
